"BaseName","WebM_KB","MP4_KB","Duration","Resolution","PixFmt","AlphaMode"
"360-degree_product_showcase_video_20260912183607","2814.8","3810.7","10.01","1280x720","yuv420p","1"
"360-degree_product_video_generat_20260912183607","2794.7","3265.3","10.01","1280x720","yuv420p","1"
"360_degree_product_showcase_video_20260912183605","1684.7","1865.8","10.01","1280x720","yuv420p","1"
"360_degree_product_showcase_video_20260912183606","2244.6","2525.1","10.01","1280x720","yuv420p","1"
"Apple_AirPods_Max_Exploded_View_20260912183607","2496.2","3167.4","10.01","1280x720","yuv420p","1"
"Apple_Magic_Keyboard_Exploded_View_20260912183607","2744.2","3161","10.01","1280x720","yuv420p","1"
"Apple_Magic_Mouse_2_Exploded_20260912183605","2059.5","1853.4","10.01","1280x720","yuv420p","1"
"Bose_QuietComfort_Ultra_Exploded_View_20260912183606","2498.2","2705.2","10.01","1280x720","yuv420p","1"
"Bose_SoundLink_Revolve_II_Exploded_20260912183607","2725.3","2907.6","10.01","1280x720","yuv420p","1"
"Exploded-view_product_visualizat_20260912183606","2426.6","2730.6","10.01","1280x720","yuv420p","1"
"Exploded_view_computer_mouse_ani_20260912183605","2085.3","1974.7","10.01","1280x720","yuv420p","1"
"Exploded_view_computer_mouse_video_20260912183606","2158.7","2013.6","10.01","1280x720","yuv420p","1"
"Exploded_view_of_keyboard_animation_20260912183607","2972.2","3486.3","10.01","1280x720","yuv420p","1"
"Headphones_exploded-view_visuali_20260912183606","2401.2","2616.6","10.01","1280x720","yuv420p","1"
"Headphones_exploded_view_animation_20260912183607","2851.9","3207.7","10.01","1280x720","yuv420p","1"
"Headphones_exploding_view_animation_20260912183607","2485.6","2988.8","10.01","1280x720","yuv420p","1"
"JBL_Flip_6_Exploded_View_20260912183607","2712.3","3041.1","10.01","1280x720","yuv420p","1"
"JBL_speaker_exploded_view_animation_20260912183607","2773.5","3093.8","10.01","1280x720","yuv420p","1"
"Keyboard_exploded-view_product_v_20260912183607","2851.1","3544.9","10.01","1280x720","yuv420p","1"
"Keychron_Q1_Pro_Exploded_View_20260912183607","2916.9","3754.3","10.01","1280x720","yuv420p","1"
"Logitech_G915_keyboard_exploded_20260912183607","2925.7","3575","10.01","1280x720","yuv420p","1"
"Logitech_G915_TKL_Exploded_View_20260912183606","2747.5","2792.2","10.01","1280x720","yuv420p","1"
"Logitech_G_Pro_X_Superlight_20260912183605","2095.6","2075","10.01","1280x720","yuv420p","1"
"Marshall_Stanmore_III_Exploded_View_20260912183607","3292.7","3540.9","10.01","1280x720","yuv420p","1"
"Mouse_disassembly_product_visual_20260912183605","1966.1","2224.3","10.01","1280x720","yuv420p","1"
"Product_360-degree_rotation_video_20260912183605","1560.8","1541.3","10.01","1280x720","yuv420p","1"
"Product_360-degree_rotation_video_20260912183605_2","1610.9","1737.6","10.01","1280x720","yuv420p","1"
"Product_360_degree_rotation_video_20260912183606","1764.4","2285.6","10.01","1280x720","yuv420p","1"
"Product_360_degree_rotation_video_20260912183607","2918.2","3682.5","10.01","1280x720","yuv420p","1"
"Product_360_degree_showcase_video_20260912183605","1977.1","1833.5","10.01","1280x720","yuv420p","1"
"Product_360_degree_showcase_video_20260912183606","2609.1","2523.2","10.01","1280x720","yuv420p","1"
"Product_360_degree_video_showcase_20260912183605","1550.3","1520.3","10.01","1280x720","yuv420p","1"
"Product_360_degree_video_showcase_20260912183605_2","1640.5","2071.2","10.01","1280x720","yuv420p","1"
"Razer_DeathAdder_V3_Pro_Exploded_20260912183606","2258.7","2569.1","10.01","1280x720","yuv420p","1"
"Razer_Huntsman_V3_Pro_Exploded_20260912183606","2751.3","2647.3","10.01","1280x720","yuv420p","1"
"Sennheiser_HD_660S2_Exploded_View_20260912183606","2716.3","2986","10.01","1280x720","yuv420p","1"
"Sonos_Era_300_Exploded_View_20260912183607","3013","3180.1","10.01","1280x720","yuv420p","1"
"Sony_headphones_exploded_view_an_20260912183606","2327.3","2800.5","10.01","1280x720","yuv420p","1"
"Sony_WH-1000XM5_Exploded_View_20260912183606","2320.9","2544.9","10.01","1280x720","yuv420p","1"
"Speaker_disassembly_product_visu_20260912183606","2102.5","2239","10.01","1280x720","yuv420p","1"
"Speaker_exploded-view_product_vi_20260912183606","2667.6","2901.8","10.01","1280x720","yuv420p","1"
"ZOWIE_EC2-CW_Exploded_View_20260912183606","2306.2","2127","10.01","1280x720","yuv420p","1"
